Route,Cost,Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn Central', 'Countdown Mt Roskill']",649.9649999999999,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn Central', 'Countdown Newmarket']",655.604375,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn Central', 'Countdown Onehunga']",622.7475,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn Central', 'Countdown Ponsonby']",619.52,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn Central', 'Countdown Pt Chevalier']",656.160625,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn Central', 'Countdown St Lukes']",588.30625,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn Central', 'Countdown Three Kings']",638.51375,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn Central', 'Countdown Victoria Street West']",662.756875,Central Region
"['Countdown Blockhouse Bay', 'Countdown Lynfield', 'Countdown Mt Eden']",583.935,Central Region
"['Countdown Blockhouse Bay', 'Countdown Lynfield', 'Countdown Mt Roskill']",541.641875,Central Region
"['Countdown Blockhouse Bay', 'Countdown Lynfield', 'Countdown Newmarket']",596.456875,Central Region
"['Countdown Blockhouse Bay', 'Countdown Lynfield', 'Countdown Onehunga']",499.28625,Central Region
"['Countdown Blockhouse Bay', 'Countdown Lynfield', 'Countdown Ponsonby']",580.355,Central Region
"['Countdown Blockhouse Bay', 'Countdown Lynfield', 'Countdown Pt Chevalier']",584.68625,Central Region
"['Countdown Blockhouse Bay', 'Countdown Lynfield', 'Countdown St Lukes']",511.04437499999995,Central Region
"['Countdown Blockhouse Bay', 'Countdown Lynfield', 'Countdown Three Kings']",508.400625,Central Region
"['Countdown Blockhouse Bay', 'Countdown Lynfield', 'Countdown Victoria Street West']",603.609375,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Eden', 'Countdown Mt Roskill']",620.130625,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Eden', 'Countdown Newmarket']",620.506875,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Eden', 'Countdown Onehunga']",587.3943750000001,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Eden', 'Countdown Ponsonby']",616.174375,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Eden', 'Countdown Pt Chevalier']",647.0475,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Eden', 'Countdown St Lukes']",561.583125,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Eden', 'Countdown Three Kings']",579.089375,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Eden', 'Countdown Victoria Street West']",634.46,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Roskill', 'Countdown Newmarket']",624.9725,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Roskill', 'Countdown Onehunga']",545.88625,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Roskill', 'Countdown Ponsonby']",615.096875,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Roskill', 'Countdown Pt Chevalier']",623.938125,Central Region
