Route,Cost,Region
"['Countdown Auckland City', 'Countdown Onehunga', 'Countdown Metro Halsey Street']",1019.184236111111,Central Region
"['Countdown Auckland City', 'Countdown Ponsonby', 'Countdown Metro Albert Street']",980.0693055555556,Central Region
"['Countdown Auckland City', 'Countdown Ponsonby', 'Countdown Metro Halsey Street']",955.680625,Central Region
"['Countdown Auckland City', 'Countdown Pt Chevalier', 'Countdown St Lukes']",1029.812986111111,Central Region
"['Countdown Auckland City', 'Countdown Pt Chevalier', 'Countdown Metro Albert Street']",992.4221527777779,Central Region
"['Countdown Auckland City', 'Countdown Pt Chevalier', 'Countdown Metro Halsey Street']",959.8736111111111,Central Region
"['Countdown Auckland City', 'Countdown St Lukes', 'Countdown Metro Albert Street']",977.3582638888889,Central Region
"['Countdown Auckland City', 'Countdown St Lukes', 'Countdown Metro Halsey Street']",944.8104861111111,Central Region
"['Countdown Auckland City', 'Countdown Three Kings', 'Countdown Metro Albert Street']",1063.7265972222222,Central Region
"['Countdown Auckland City', 'Countdown Three Kings', 'Countdown Metro Halsey Street']",1039.6770833333335,Central Region
"['Countdown Auckland City', 'Countdown Victoria Street West', 'Countdown Metro Albert Street']",935.7125694444444,Central Region
"['Countdown Auckland City', 'Countdown Victoria Street West', 'Countdown Metro Halsey Street']",909.356875,Central Region
"['Countdown Auckland City', 'Countdown Metro Albert Street', 'Countdown Metro Halsey Street']",756.1800000000001,Central Region
"['Countdown Blockhouse Bay', 'Countdown Greenlane', 'Countdown Grey Lynn']",1105.1629861111112,Central Region
"['Countdown Blockhouse Bay', 'Countdown Greenlane', 'Countdown Grey Lynn Central']",1090.911875,Central Region
"['Countdown Blockhouse Bay', 'Countdown Greenlane', 'Countdown Lynfield']",1105.1660416666668,Central Region
"['Countdown Blockhouse Bay', 'Countdown Greenlane', 'Countdown Mt Eden']",1018.2324305555557,Central Region
"['Countdown Blockhouse Bay', 'Countdown Greenlane', 'Countdown Mt Roskill']",1062.2431250000004,Central Region
"['Countdown Blockhouse Bay', 'Countdown Greenlane', 'Countdown Newmarket']",1034.585763888889,Central Region
"['Countdown Blockhouse Bay', 'Countdown Greenlane', 'Countdown Onehunga']",975.4210416666665,Central Region
"['Countdown Blockhouse Bay', 'Countdown Greenlane', 'Countdown Pt Chevalier']",1089.5131944444445,Central Region
"['Countdown Blockhouse Bay', 'Countdown Greenlane', 'Countdown St Lukes']",1045.9096527777774,Central Region
